query_number,query,results,status,exec_time_ms,enum_time_ms
46,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
47,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
48,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
49,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
50,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
51,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
52,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
53,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
54,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
55,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
56,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
57,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
58,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
59,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
60,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
61,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
62,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
63,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
64,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
65,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
66,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
67,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
68,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
69,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
70,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
71,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
72,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
73,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
74,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
75,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
76,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
77,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
78,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
79,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
80,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
81,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
82,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
83,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
84,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
85,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
86,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
87,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
88,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
89,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
90,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
91,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
92,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
93,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
94,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
95,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
96,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
97,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
98,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
99,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
100,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
101,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
102,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
103,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
104,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
105,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
106,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
107,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
108,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
109,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
110,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
111,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
112,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
113,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
114,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
115,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
116,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
117,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
118,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
119,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
120,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
121,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
122,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
123,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
124,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
125,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
126,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
127,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
128,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
129,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
130,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
131,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
