query_number,query,results,status,exec_time_ms,enum_time_ms
45,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
46,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
47,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
48,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
49,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
50,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
51,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
52,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
53,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
54,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
55,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
56,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
57,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
58,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
59,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
60,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
61,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
62,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
63,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
64,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
65,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
66,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..6]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
67,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
68,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
69,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
70,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
71,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
72,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
73,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
74,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
75,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
76,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
77,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..7]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
78,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
79,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
80,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
81,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
82,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
83,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
84,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
85,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
86,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
87,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
88,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..8]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
89,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
90,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
91,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
92,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
93,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
94,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
95,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
96,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
97,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
98,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
