query_number,query,results,status,exec_time_ms,enum_time_ms
53,MATCH p=(:Person{id:"131416"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,27,39607
54,MATCH p=(:Person{id:"472869"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,36,39958
55,MATCH p=(:Person{id:"5867"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,24,38263
56,MATCH p=(:Person{id:"1632803"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,81089,OK,81,49811
57,MATCH p=(:Person{id:"531242"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,27,43510
58,MATCH p=(:Person{id:"1334631"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,19,43541
59,MATCH p=(:Person{id:"1276136"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,19,46922
60,MATCH p=(:Person{id:"224165"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,29,43461
61,MATCH p=(:Person{id:"696585"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,28,43964
62,MATCH p=(:Person{id:"617475"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,38,46610
63,MATCH p=(:Person{id:"613913"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,31,45949
64,MATCH p=(:Person{id:"131416"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,40,43460
65,MATCH p=(:Person{id:"472869"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,24,43040
66,MATCH p=(:Person{id:"5867"})-[:Knows*1..6]->(n) RETURN p LIMIT 100000,100000,OK,22,42608
67,MATCH p=(:Person{id:"1632803"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,79,50367
68,MATCH p=(:Person{id:"531242"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,24,48412
69,MATCH p=(:Person{id:"1334631"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,28,48275
70,MATCH p=(:Person{id:"1276136"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,18,48295
71,MATCH p=(:Person{id:"224165"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,35,48784
72,MATCH p=(:Person{id:"696585"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,31,48111
73,MATCH p=(:Person{id:"617475"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,23,49353
74,MATCH p=(:Person{id:"613913"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,26,48370
75,MATCH p=(:Person{id:"131416"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,20,48201
76,MATCH p=(:Person{id:"472869"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,18,47668
77,MATCH p=(:Person{id:"5867"})-[:Knows*1..7]->(n) RETURN p LIMIT 100000,100000,OK,25,47162
78,MATCH p=(:Person{id:"1632803"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,80,53298
79,MATCH p=(:Person{id:"531242"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,25,54747
80,MATCH p=(:Person{id:"1334631"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,20,53414
81,MATCH p=(:Person{id:"1276136"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,23,50986
82,MATCH p=(:Person{id:"224165"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,33,51818
83,MATCH p=(:Person{id:"696585"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,21,53623
84,MATCH p=(:Person{id:"617475"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,19,52309
85,MATCH p=(:Person{id:"613913"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,25,53464
86,MATCH p=(:Person{id:"131416"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,22,54323
87,MATCH p=(:Person{id:"472869"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,18,53280
88,MATCH p=(:Person{id:"5867"})-[:Knows*1..8]->(n) RETURN p LIMIT 100000,100000,OK,19,52637
89,MATCH p=(:Person{id:"1632803"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,70,59179
90,MATCH p=(:Person{id:"531242"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,19,55967
91,MATCH p=(:Person{id:"1334631"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,15,58316
92,MATCH p=(:Person{id:"1276136"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,18,55970
