query_number,query,results,status,exec_time_ms,enum_time_ms
51,MATCH p=(:Entity{id:'Q29872979'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,19,63
52,MATCH p=(:Entity{id:'Q29873614'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,29,69
53,MATCH p=(:Entity{id:'Q29873624'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,35,92
54,MATCH p=(:Entity{id:'Q29874692'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,40,71
55,MATCH p=(:Entity{id:'Q29875500'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,31,135
56,MATCH p=(:Entity{id:'Q29875661'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,34,40
57,MATCH p=(:Entity{id:'Q29884672'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,17,99
58,MATCH p=(:Entity{id:'Q2'})-[:P31]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->(x1) RETURN p LIMIT 100000,769,OK,49,479
59,MATCH p=(:Entity{id:'Q2'})-[:P31]->()-[:P279]->()-[:P279*1..]->(x1) RETURN p LIMIT 100000,282,OK,23,210
60,MATCH p=(:Entity{id:'Q2'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,288,OK,27,189
61,MATCH p=(:Entity{id:'Q2'})-[:P31]->()-[:P279*1..]->(x1) RETURN p LIMIT 100000,286,OK,21,204
62,MATCH p=(:Entity{id:'Q3044'})-[:P40*0..]->(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
63,MATCH p=(:Entity{id:'Q3044'})-[:P40]->()-[:P40*0..]->(:Entity{id:'Q8016'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
64,MATCH p=(:Entity{id:'Q30'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,3926,OK,30,5735
65,MATCH p=(:Entity{id:'Q326313'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,19,120
66,MATCH p=(:Entity{id:'Q328046'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,30,62
68,MATCH p=(:Entity{id:'Q34644785'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,28,118
69,MATCH p=(:Entity{id:'Q35001555'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,28,81
70,MATCH p=(:Entity{id:'Q3582579'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,26,130
71,MATCH p=(:Entity{id:'Q38133595'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,2,OK,33,99
72,MATCH p=(:Entity{id:'Q390192'})<-[:P40]-(x1) RETURN p LIMIT 100000,2,OK,76,165
73,MATCH p=(:Entity{id:'Q3947'})-[:P279*0..]->(x1) RETURN p LIMIT 100000,201,OK,29,232
74,MATCH p=(:Entity{id:'Q41259536'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,10,OK,19,208
75,MATCH p=(:Entity{id:'Q41321217'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,27,146
76,MATCH p=(:Entity{id:'Q41323003'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,35,153
77,MATCH p=(:Entity{id:'Q41353339'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,26,113
